,date,births
1,01-01-2015,8068
2,02-01-2015,10850
3,03-01-2015,8328
4,04-01-2015,7065
5,05-01-2015,11892
6,06-01-2015,12425
7,07-01-2015,12141
8,08-01-2015,12094
9,09-01-2015,11868
10,10-01-2015,8014
11,11-01-2015,7172
12,12-01-2015,11479
13,13-01-2015,11924
14,14-01-2015,12013
15,15-01-2015,12339
16,16-01-2015,11861
17,17-01-2015,8280
18,18-01-2015,7195
19,19-01-2015,10602
20,20-01-2015,12242
21,21-01-2015,12086
22,22-01-2015,11949
23,23-01-2015,11910
24,24-01-2015,8235
25,25-01-2015,7186
26,26-01-2015,11728
27,27-01-2015,11882
28,28-01-2015,11602
29,29-01-2015,11967
30,30-01-2015,11571
31,31-01-2015,7987
32,01-02-2015,7139
33,02-02-2015,11480
34,03-02-2015,12079
35,04-02-2015,11924
36,05-02-2015,11821
37,06-02-2015,11656
38,07-02-2015,8285
39,08-02-2015,7265
40,09-02-2015,11937
41,10-02-2015,12291
42,11-02-2015,11911
43,12-02-2015,12285
44,13-02-2015,11321
45,14-02-2015,8390
46,15-02-2015,7508
47,16-02-2015,11038
48,17-02-2015,11952
49,18-02-2015,12061
50,19-02-2015,11968
51,20-02-2015,11864
52,21-02-2015,8343
53,22-02-2015,7254
54,23-02-2015,11260
55,24-02-2015,11941
56,25-02-2015,11828
57,26-02-2015,11672
58,27-02-2015,11596
59,28-02-2015,7989
60,01-03-2015,7273
61,02-03-2015,11609
62,03-03-2015,12402
63,04-03-2015,11927
64,05-03-2015,11681
65,06-03-2015,11612
66,07-03-2015,7980
67,08-03-2015,6929
68,09-03-2015,11678
69,10-03-2015,12282
70,11-03-2015,11850
71,12-03-2015,12042
72,13-03-2015,10940
73,14-03-2015,8217
74,15-03-2015,7202
75,16-03-2015,11537
76,17-03-2015,12312
77,18-03-2015,11807
78,19-03-2015,11721
79,20-03-2015,12040
80,21-03-2015,8080
81,22-03-2015,7171
82,23-03-2015,11674
83,24-03-2015,12333
84,25-03-2015,11872
85,26-03-2015,12065
86,27-03-2015,11629
87,28-03-2015,8071
88,29-03-2015,7125
89,30-03-2015,11500
90,31-03-2015,12362
91,01-04-2015,11596
92,02-04-2015,12296
93,03-04-2015,11234
94,04-04-2015,7981
95,05-04-2015,6821
96,06-04-2015,11455
97,07-04-2015,12334
98,08-04-2015,11976
99,09-04-2015,11874
100,10-04-2015,11724
101,11-04-2015,8092
102,12-04-2015,7141
103,13-04-2015,11503
104,14-04-2015,12309
105,15-04-2015,11794
106,16-04-2015,11947
107,17-04-2015,11718
108,18-04-2015,8028
109,19-04-2015,7180
110,20-04-2015,11513
111,21-04-2015,12173
112,22-04-2015,11917
113,23-04-2015,11877
114,24-04-2015,11749
115,25-04-2015,8101
116,26-04-2015,7178
117,27-04-2015,11494
118,28-04-2015,12221
119,29-04-2015,11775
120,30-04-2015,11831
121,01-05-2015,12178
122,02-05-2015,8075
123,03-05-2015,7195
124,04-05-2015,11724
125,05-05-2015,12618
126,06-05-2015,11924
127,07-05-2015,11649
128,08-05-2015,11810
129,09-05-2015,8216
130,10-05-2015,7246
131,11-05-2015,11549
132,12-05-2015,12400
133,13-05-2015,11572
134,14-05-2015,11793
135,15-05-2015,12306
136,16-05-2015,8337
137,17-05-2015,7354
138,18-05-2015,11708
139,19-05-2015,12469
140,20-05-2015,12352
141,21-05-2015,12246
142,22-05-2015,12147
143,23-05-2015,8267
144,24-05-2015,7261
145,25-05-2015,7746
146,26-05-2015,12242
147,27-05-2015,12845
148,28-05-2015,12722
149,29-05-2015,12168
150,30-05-2015,8431
151,31-05-2015,7367
152,01-06-2015,11793
153,02-06-2015,11994
154,03-06-2015,11890
155,04-06-2015,11918
156,05-06-2015,12303
157,06-06-2015,8313
158,07-06-2015,7230
159,08-06-2015,11938
160,09-06-2015,12479
161,10-06-2015,12123
162,11-06-2015,12029
163,12-06-2015,12064
164,13-06-2015,8104
165,14-06-2015,7292
166,15-06-2015,12348
167,16-06-2015,12400
168,17-06-2015,12192
169,18-06-2015,12323
170,19-06-2015,11767
171,20-06-2015,8451
172,21-06-2015,7580
173,22-06-2015,11883
174,23-06-2015,12351
175,24-06-2015,12292
176,25-06-2015,12416
177,26-06-2015,12152
178,27-06-2015,8652
179,28-06-2015,7371
180,29-06-2015,11961
181,30-06-2015,12932
182,01-07-2015,13033
183,02-07-2015,13038
184,03-07-2015,10375
185,04-07-2015,7944
186,05-07-2015,7164
187,06-07-2015,12088
188,07-07-2015,13426
189,08-07-2015,12788
190,09-07-2015,12517
191,10-07-2015,12396
192,11-07-2015,8769
193,12-07-2015,7591
194,13-07-2015,11835
195,14-07-2015,12862
196,15-07-2015,12853
197,16-07-2015,12502
198,17-07-2015,12291
199,18-07-2015,8546
200,19-07-2015,7681
201,20-07-2015,12424
202,21-07-2015,13264
203,22-07-2015,12519
204,23-07-2015,12852
205,24-07-2015,12612
206,25-07-2015,8748
207,26-07-2015,7836
208,27-07-2015,12416
209,28-07-2015,13240
210,29-07-2015,12739
211,30-07-2015,12797
212,31-07-2015,12269
213,01-08-2015,8851
214,02-08-2015,7907
215,03-08-2015,12449
216,04-08-2015,13149
217,05-08-2015,12793
218,06-08-2015,12872
219,07-08-2015,12770
220,08-08-2015,8956
221,09-08-2015,7726
222,10-08-2015,12333
223,11-08-2015,13010
224,12-08-2015,12960
225,13-08-2015,12591
226,14-08-2015,12861
227,15-08-2015,8938
228,16-08-2015,7896
229,17-08-2015,12337
230,18-08-2015,13197
231,19-08-2015,12966
232,20-08-2015,13002
233,21-08-2015,12834
234,22-08-2015,9153
235,23-08-2015,7821
236,24-08-2015,12274
237,25-08-2015,13149
238,26-08-2015,12729
239,27-08-2015,12829
240,28-08-2015,12719
241,29-08-2015,8772
242,30-08-2015,7805
243,31-08-2015,12142
244,01-09-2015,13231
245,02-09-2015,12799
246,03-09-2015,12839
247,04-09-2015,12862
248,05-09-2015,8950
249,06-09-2015,7778
250,07-09-2015,8127
251,08-09-2015,12823
252,09-09-2015,13949
253,10-09-2015,13925
254,11-09-2015,12295
255,12-09-2015,9062
256,13-09-2015,7900
257,14-09-2015,12699
258,15-09-2015,13439
259,16-09-2015,13136
260,17-09-2015,13319
261,18-09-2015,13229
262,19-09-2015,9195
263,20-09-2015,8078
264,21-09-2015,12567
265,22-09-2015,13047
266,23-09-2015,12595
267,24-09-2015,12942
268,25-09-2015,12792
269,26-09-2015,8927
270,27-09-2015,7778
271,28-09-2015,12158
272,29-09-2015,12791
273,30-09-2015,12284
274,01-10-2015,13043
275,02-10-2015,12399
276,03-10-2015,8579
277,04-10-2015,7530
278,05-10-2015,12166
279,06-10-2015,12520
280,07-10-2015,12429
281,08-10-2015,12458
282,09-10-2015,12282
283,10-10-2015,8550
284,11-10-2015,7571
285,12-10-2015,11633
286,13-10-2015,12094
287,14-10-2015,12205
288,15-10-2015,12522
289,16-10-2015,11917
290,17-10-2015,8233
291,18-10-2015,7211
292,19-10-2015,11388
293,20-10-2015,12500
294,21-10-2015,12093
295,22-10-2015,12013
296,23-10-2015,11942
297,24-10-2015,8239
298,25-10-2015,7288
299,26-10-2015,11923
300,27-10-2015,12485
301,28-10-2015,12266
302,29-10-2015,11950
303,30-10-2015,11529
304,31-10-2015,8049
305,01-11-2015,7731
306,02-11-2015,12236
307,03-11-2015,12524
308,04-11-2015,12279
309,05-11-2015,12452
310,06-11-2015,11909
311,07-11-2015,8517
312,08-11-2015,7324
313,09-11-2015,11688
314,10-11-2015,12451
315,11-11-2015,12311
316,12-11-2015,12329
317,13-11-2015,11643
318,14-11-2015,8221
319,15-11-2015,7378
320,16-11-2015,11791
321,17-11-2015,12321
322,18-11-2015,12230
323,19-11-2015,12504
324,20-11-2015,12495
325,21-11-2015,8392
326,22-11-2015,7427
327,23-11-2015,12419
328,24-11-2015,13051
329,25-11-2015,11745
330,26-11-2015,7332
331,27-11-2015,8942
332,28-11-2015,7734
333,29-11-2015,7230
334,30-11-2015,12214
335,01-12-2015,13185
336,02-12-2015,12708
337,03-12-2015,12281
338,04-12-2015,11828
339,05-12-2015,8262
340,06-12-2015,7194
341,07-12-2015,11567
342,08-12-2015,12328
343,09-12-2015,11857
344,10-12-2015,12259
345,11-12-2015,11406
346,12-12-2015,8073
347,13-12-2015,7262
348,14-12-2015,11753
349,15-12-2015,12437
350,16-12-2015,12282
351,17-12-2015,12339
352,18-12-2015,12247
353,19-12-2015,8368
354,20-12-2015,7361
355,21-12-2015,12692
356,22-12-2015,13131
357,23-12-2015,11595
358,24-12-2015,8714
359,25-12-2015,6515
360,26-12-2015,7294
361,27-12-2015,7518
362,28-12-2015,13100
363,29-12-2015,13458
364,30-12-2015,13100
365,31-12-2015,11608
